India.Checklist.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,
Aegithalos niveogularis,Least Concern,Schedule-II,,,
Aegithalos iouschistos,Least Concern,Schedule-II,,,
Sylvia atricapilla,Least Concern,Recent addition,,Appendix II,
Sylvia borin,Least Concern,Schedule-II,,Appendix II,
Curruca nisoria,Least Concern,Schedule-II,,Appendix II,
Curruca curruca,Least Concern,Schedule-II,,Appendix II,
Curruca crassirostris,Least Concern,Schedule-II,,Appendix II,
Curruca nana,Least Concern,Schedule-II,,Appendix II,
Curruca communis,Least Concern,Schedule-II,,Appendix II,
Myzornis pyrrhoura,Least Concern,Schedule-II,,,
Lioparus chrysotis,Least Concern,Schedule-II,,,
Chrysomma sinense,Least Concern,Schedule-II,,,
Chrysomma altirostre,Vulnerable,Schedule-I,,,
Fulvetta ludlowi,Least Concern,Schedule-II,,,
Fulvetta vinipectus,Least Concern,Schedule-II,,,
Fulvetta manipurensis,Least Concern,Schedule-II,,,
Paradoxornis flavirostris,Vulnerable,Schedule-I,,,
Paradoxornis guttaticollis,Least Concern,Schedule-II,,,
Conostoma aemodium,Least Concern,Schedule-II,,,
Cholornis unicolor,Least Concern,Schedule-II,,,
Psittiparus gularis,Least Concern,Schedule-II,,,
Psittiparus ruficeps,Least Concern,Schedule-II,,,
Psittiparus bakeri,Least Concern,Schedule-II,,,
Suthora fulvifrons,Least Concern,Schedule-II,,,
Suthora nipalensis,Least Concern,Schedule-II,,,
Suthora atrosuperciliaris,Least Concern,Schedule-II,,,
Staphida castaniceps,Least Concern,Schedule-II,,,
Yuhina nigrimenta,Least Concern,Schedule-II,,,
Yuhina flavicollis,Least Concern,Schedule-II,,,
Yuhina bakeri,Least Concern,Schedule-II,,,
Yuhina gularis,Least Concern,Schedule-II,,,
Yuhina occipitalis,Least Concern,Schedule-II,,,
Zosterops erythropleurus,Least Concern,Schedule-II,,Appendix II,
Zosterops palpebrosus,Least Concern,Schedule-II,,,
Timalia pileata,Least Concern,Schedule-II,,,
Dumetia hyperythra,Least Concern,Schedule-II,,,
Dumetia atriceps,Least Concern,Schedule-II,,,
Mixornis gularis,Least Concern,Schedule-II,,,
Cyanoderma chrysaeum,Least Concern,Schedule-II,,,
Cyanoderma pyrrhops,Least Concern,Schedule-II,,,
Cyanoderma ruficeps,Least Concern,Schedule-II,,,
Cyanoderma ambiguum,Not recognized,Schedule-II,,,
Spelaeornis caudatus,Near Threatened,Schedule-II,,,
Spelaeornis badeigularis,Near Threatened,Schedule-I,,,
Spelaeornis troglodytoides,Least Concern,Schedule-I,,,
Spelaeornis chocolatinus,Vulnerable,Schedule-I,,,
Spelaeornis oatesi,Least Concern,Schedule-II,,,
Spelaeornis longicaudatus,Near Threatened,Schedule-I,,,
Pomatorhinus ferruginosus,Least Concern,Schedule-II,,,
Pomatorhinus phayrei,Least Concern,Schedule-II,,,
Pomatorhinus ochraceiceps,Least Concern,Schedule-II,,,
Pomatorhinus superciliaris,Least Concern,Schedule-II,,,
Pomatorhinus ruficollis,Least Concern,Schedule-II,,,
Pomatorhinus schisticeps,Least Concern,Schedule-II,,,
Pomatorhinus horsfieldii,Least Concern,Schedule-II,,,
Erythrogenys hypoleucos,Least Concern,Schedule-II,,,
Erythrogenys erythrogenys,Least Concern,Schedule-II,,,
Erythrogenys mcclellandi,Least Concern,Schedule-II,,,
Stachyris nigriceps,Least Concern,Schedule-II,,,
Stachyris humei,Near Threatened,Schedule-I,,,
Stachyris roberti,Near Threatened,Schedule-II,,,
Stachyris oglei,Near Threatened,Schedule-I,,,
Graminicola bengalensis,Near Threatened,Schedule-II,,,
Gampsorhynchus rufulus,Least Concern,Schedule-II,,,
Schoeniparus cinereus,Least Concern,Schedule-II,,,
Schoeniparus castaneceps,Least Concern,Schedule-II,,,
Schoeniparus rufogularis,Least Concern,Schedule-II,,,
Schoeniparus dubius,Least Concern,Schedule-II,,,
Pellorneum ruficeps,Least Concern,Schedule-II,,,
Pellorneum palustre,Vulnerable,Schedule-I,,,
Pellorneum albiventre,Least Concern,Schedule-II,,,
Pellorneum tickelli,Least Concern,Schedule-II,,,
Laticilla burnesii,Near Threatened,Schedule-I,,,
Laticilla cinerascens,Endangered,Schedule-I,,,
Malacocincla abbotti,Least Concern,Schedule-II,,,
Gypsophila brevicaudata,Least Concern,Schedule-II,,,
Napothera epilepidota,Least Concern,Schedule-II,,,
Napothera malacoptila,Least Concern,Schedule-II,,,
Alcippe poioicephala,Least Concern,Schedule-II,,,
Alcippe nipalensis,Least Concern,Schedule-II,,,
Grammatoptila striata,Least Concern,Schedule-II,,,
Cutia nipalensis,Least Concern,Schedule-II,,,
Trochalopteron subunicolor,Least Concern,Schedule-II,,,
Trochalopteron austeni,Least Concern,Schedule-I,,,
Trochalopteron squamatum,Least Concern,Schedule-II,,,
Trochalopteron lineatum,Least Concern,Schedule-II,,,
Trochalopteron imbricatum,Least Concern,Schedule-II,,,
Trochalopteron virgatum,Least Concern,Schedule-II,,,
Trochalopteron variegatum,Least Concern,Schedule-II,,,
Trochalopteron affine,Least Concern,Schedule-II,,,
Trochalopteron elliotii,Least Concern,Schedule-II,,,
Trochalopteron erythrocephalum,Least Concern,Schedule-II,,,
Trochalopteron chrysopterum,Least Concern,Schedule-II,,,
Montecincla jerdoni,Endangered,Schedule-I,,,
Montecincla cachinnans,Endangered,Schedule-I,,,
Montecincla fairbanki,Near Threatened,Schedule-II,,,
Montecincla meridionalis,Vulnerable,Schedule-I,,,
Heterophasia picaoides,Least Concern,Schedule-II,,,
Heterophasia capistrata,Least Concern,Schedule-II,,,
Heterophasia pulchella,Least Concern,Schedule-II,,,
Heterophasia gracilis,Least Concern,Schedule-II,,,
Actinodura nipalensis,Least Concern,Schedule-II,,,
Actinodura waldeni,Least Concern,Schedule-II,,,
Actinodura cyanouroptera,Least Concern,Schedule-II,,,
Actinodura strigula,Least Concern,Schedule-II,,,
Actinodura egertoni,Least Concern,Schedule-II,,,
Leiothrix lutea,Least Concern,Schedule-II,Appendix II,,
Leiothrix argentauris,Least Concern,Schedule-II,Appendix II,,
Minla ignotincta,Least Concern,Schedule-II,,,
Leioptila annectens,Least Concern,Schedule-II,,,
Liocichla bugunorum,Critically Endangered,Schedule-I,,,
Liocichla phoenicea,Least Concern,Schedule-II,,,
Argya malcolmi,Least Concern,Schedule-II,,,
Argya longirostris,Vulnerable,Schedule-I,,,
Argya subrufa,Least Concern,Schedule-II,,,
Argya striata,Least Concern,Schedule-II,,,
Argya affinis,Least Concern,Schedule-II,,,
Argya caudata,Least Concern,Schedule-II,,,
Argya earlei,Least Concern,Schedule-II,,,
Garrulax merulinus,Least Concern,Schedule-II,,,
Garrulax monileger,Least Concern,Schedule-II,,,
Garrulax leucolophus,Least Concern,Schedule-II,,,
Ianthocincla rufogularis,Least Concern,Schedule-II,,,
Ianthocincla cineracea,Least Concern,Schedule-I,,,
Ianthocincla ocellata,Least Concern,Schedule-II,,,
Pterorhinus delesserti,Least Concern,Schedule-II,,,
Pterorhinus gularis,Least Concern,Schedule-II,,,
Pterorhinus galbanus,Least Concern,Schedule-II,,,
Pterorhinus ruficollis,Least Concern,Schedule-II,,,
Pterorhinus nuchalis,Near Threatened,Schedule-I,,,
Pterorhinus sannio,Least Concern,Schedule-II,,,
Pterorhinus pectoralis,Least Concern,Schedule-II,,,
Pterorhinus woodi,Least Concern,Schedule-II,,,
Pterorhinus albogularis,Least Concern,Schedule-II,,,
Pterorhinus caerulatus,Least Concern,Schedule-I,,,
Regulus regulus,Least Concern,Schedule-II,,Appendix II,
Tichodroma muraria,Least Concern,Schedule-II,,,
Sitta leucopsis,Least Concern,Schedule-II,,,
Sitta formosa,Vulnerable,Schedule-I,,,
Sitta frontalis,Least Concern,Schedule-II,,,
Sitta yunnanensis,Least Concern,Schedule-II,,,
Sitta himalayensis,Least Concern,Schedule-II,,,
Sitta castanea,Least Concern,Schedule-II,,,
Sitta cinnamoventris,Least Concern,Schedule-II,,,
Sitta nagaensis,Least Concern,Schedule-II,,,
Sitta cashmirensis,Least Concern,Schedule-II,,,
Certhia hodgsoni,Least Concern,Schedule-II,,,
Certhia himalayana,Least Concern,Schedule-II,,,
Certhia nipalensis,Least Concern,Schedule-II,,,
Certhia discolor,Least Concern,Schedule-II,,,
Certhia manipurensis,Least Concern,Schedule-II,,,
Salpornis spilonota,Least Concern,Schedule-II,,,
Troglodytes troglodytes,Least Concern,Schedule-II,,,
Elachura formosa,Least Concern,Schedule-II,,,
Cinclus cinclus,Least Concern,Schedule-II,,,
Cinclus pallasii,Least Concern,Schedule-II,,,
Aplonis panayensis,Least Concern,Schedule-II,,,
Ampeliceps coronatus,Least Concern,Schedule-II,,,
Gracula religiosa,Least Concern,Schedule-I,Appendix II,,
Gracula indica,Least Concern,Schedule-I,Appendix II,,
Sturnus vulgaris,Least Concern,Schedule-II,,Appendix II,
Pastor roseus,Least Concern,Schedule-II,,Appendix II,
Agropsar sturninus,Least Concern,Schedule-II,,,
Agropsar philippensis,Least Concern,Schedule-II,,,
Gracupica contra,Least Concern,Schedule-II,,,
Sturnia sinensis,Least Concern,Recent addition,,,
Sturnia pagodarum,Least Concern,Schedule-II,,,
Sturnia malabarica,Least Concern,Schedule-II,,,
Sturnia blythii,Not recognized,Schedule-II,,,
Sturnia erythropygia,Least Concern,Schedule-II,,,
Spodiopsar sericeus,Least Concern,Schedule-II,,,
Spodiopsar cineraceus,Least Concern,Schedule-II,,,
Acridotheres tristis,Least Concern,Schedule-II,,,
Acridotheres ginginianus,Least Concern,Schedule-II,,,
Acridotheres fuscus,Least Concern,Schedule-II,,,
Acridotheres albocinctus,Least Concern,Schedule-II,,,
Acridotheres grandis,Least Concern,Schedule-II,,,
Saroglossa spilopterus,Least Concern,Schedule-II,,Appendix II,
Grandala coelicolor,Least Concern,Schedule-II,,,
Zoothera dixoni,Least Concern,Schedule-II,,Appendix II,
Zoothera mollissima,Least Concern,Schedule-II,,Appendix II,
Zoothera salimalii,Least Concern,Schedule-II,,Appendix II,
Zoothera marginata,Least Concern,Schedule-II,,,
Zoothera monticola,Least Concern,Schedule-II,,,
Zoothera aurea,Least Concern,Recent addition,,Appendix II,
Zoothera dauma,Least Concern,Schedule-II,,Appendix II,
Zoothera neilgherriensis,Not recognized,Schedule-I,,,
Cochoa purpurea,Least Concern,Schedule-II,,,
Cochoa viridis,Least Concern,Schedule-II,,,
Geokichla sibirica,Least Concern,Schedule-II,,Appendix II,
Geokichla wardii,Least Concern,Schedule-II,,Appendix II,
Geokichla citrina,Least Concern,Schedule-II,,Appendix II,
Turdus mupinensis,Least Concern,Schedule-II,,,
Turdus viscivorus,Least Concern,Schedule-II,,Appendix II,
Turdus philomelos,Least Concern,Schedule-II,,Appendix II,
Turdus mandarinus,Least Concern,Recent addition,,Appendix II,
Turdus boulboul,Least Concern,Schedule-II,,,
Turdus simillimus,Least Concern,Schedule-II,,,
Turdus cardis,Least Concern,Schedule-II,,Appendix II,
Turdus unicolor,Least Concern,Schedule-II,,Appendix II,
Turdus dissimilis,Least Concern,Schedule-II,,,
Turdus feae,Vulnerable,Schedule-II,,Appendix II,
Turdus obscurus,Least Concern,Schedule-II,,Appendix II,
Turdus kessleri,Least Concern,Schedule-II,,Appendix II,
Turdus maximus,Least Concern,Schedule-II,,Appendix II,
Turdus pilaris,Least Concern,Schedule-II,,Appendix II,
Turdus albocinctus,Least Concern,Schedule-II,,,
Turdus rubrocanus,Least Concern,Schedule-II,,Appendix II,
Turdus atrogularis,Least Concern,Schedule-II,,Appendix II,
Turdus ruficollis,Least Concern,Schedule-II,,Appendix II,
Turdus eunomus,Least Concern,Schedule-II,,Appendix II,
Turdus naumanni,Least Concern,Schedule-II,,Appendix II,
Muscicapa sibirica,Least Concern,Schedule-II,,Appendix II,
Muscicapa ferruginea,Least Concern,Schedule-II,,Appendix II,
Muscicapa dauurica,Least Concern,Schedule-II,,Appendix II,
Muscicapa muttui,Least Concern,Schedule-II,,Appendix II,
Muscicapa striata,Least Concern,Schedule-II,,Appendix II,
Cercotrichas galactotes,Least Concern,Schedule-II,,Appendix II,
Copsychus fulicatus,Least Concern,Schedule-II,,,
Copsychus saularis,Least Concern,Schedule-II,,,
Copsychus malabaricus,Least Concern,Schedule-II,Appendix I,,
Copsychus albiventris,Least Concern,Schedule-II,,,
Leucoptilon concretum,Least Concern,Schedule-II,,,
Sholicola major,Endangered,Schedule-I,,,
Sholicola albiventris,Vulnerable,Schedule-I,,,
Niltava grandis,Least Concern,Schedule-II,,,
Niltava macgrigoriae,Least Concern,Schedule-II,,,
Niltava sundara,Least Concern,Schedule-II,,,
Niltava oatesi,Least Concern,Schedule-II,,Appendix II,
Cyanoptila cyanomelana,Least Concern,Schedule-II,,Appendix II,
Cyanoptila cumatilis,Near Threatened,Schedule-II,,Appendix II,
Eumyias albicaudatus,Least Concern,Schedule-II,,,
Eumyias thalassinus,Least Concern,Schedule-II,,Appendix II,
Anthipes monileger,Least Concern,Schedule-II,,,
Cyornis pallidipes,Least Concern,Schedule-II,,,
Cyornis poliogenys,Least Concern,Schedule-II,,,
Cyornis unicolor,Least Concern,Schedule-II,,,
Cyornis rubeculoides,Least Concern,Schedule-II,,Appendix II,
Cyornis magnirostris,Near Threatened,Schedule-I,,Appendix II,
Cyornis whitei,Least Concern,Schedule-II,,,
Cyornis tickelliae,Least Concern,Schedule-II,,,
Cyornis nicobaricus,Near Threatened,Schedule-II,,,
Brachypteryx hyperythra,Near Threatened,Schedule-II,,,
Brachypteryx leucophris,Least Concern,Schedule-II,,,
Brachypteryx cruralis,Least Concern,Schedule-II,,,
Heteroxenicus stellatus,Least Concern,Schedule-II,,,
Larvivora brunnea,Least Concern,Schedule-II,,Appendix II,
Larvivora cyane,Least Concern,Schedule-II,,Appendix II,
Luscinia phaenicuroides,Least Concern,Schedule-II,,Appendix II,
Luscinia svecica,Least Concern,Schedule-II,,Appendix II,
Myophonus horsfieldii,Least Concern,Schedule-II,,,
Myophonus caeruleus,Least Concern,Schedule-II,,,
Enicurus scouleri,Least Concern,Schedule-II,,,
Enicurus leschenaulti,Least Concern,Schedule-II,,,
Enicurus maculatus,Least Concern,Schedule-II,,,
Enicurus immaculatus,Least Concern,Schedule-II,,,
Enicurus schistaceus,Least Concern,Schedule-II,,,
Calliope pectardens,Near Threatened,Schedule-II,,Appendix II,
Calliope calliope,Least Concern,Schedule-II,,Appendix II,
Calliope pectoralis,Least Concern,Schedule-II,,Appendix II,
Calliope tschebaiewi,Least Concern,Schedule-I,,Appendix II,
Myiomela leucura,Least Concern,Schedule-II,,,
Cinclidium frontale,Least Concern,Schedule-II,,,
Tarsiger cyanurus,Least Concern,Schedule-II,,Appendix II,
Tarsiger rufilatus,Least Concern,Schedule-II,,Appendix II,
Tarsiger hyperythrus,Least Concern,Schedule-II,,,
Tarsiger indicus,Least Concern,Schedule-II,,,
Tarsiger chrysaeus,Least Concern,Schedule-II,,,
Ficedula zanthopygia,Least Concern,Schedule-II,,Appendix II,
Ficedula mugimaki,Least Concern,Schedule-II,,Appendix II,
Ficedula erithacus,Least Concern,Schedule-II,,Appendix II,
Ficedula nigrorufa,Least Concern,Schedule-II,,,
Ficedula tricolor,Least Concern,Schedule-II,,Appendix II,
Ficedula hyperythra,Least Concern,Schedule-II,,Appendix II,
Ficedula hodgsoni,Least Concern,Schedule-II,,,
Ficedula strophiata,Least Concern,Schedule-II,,Appendix II,
Ficedula sapphira,Least Concern,Schedule-II,,,
Ficedula westermanni,Least Concern,Schedule-II,,Appendix II,
Ficedula superciliaris,Least Concern,Schedule-II,,Appendix II,
Ficedula ruficauda,Least Concern,Schedule-II,,Appendix II,
Ficedula albicilla,Least Concern,Schedule-II,,Appendix II,
Ficedula subrubra,Vulnerable,Schedule-I,,Appendix II,
Ficedula parva,Least Concern,Schedule-II,,Appendix II,
Phoenicurus frontalis,Least Concern,Schedule-II,,Appendix II,
Phoenicurus fuliginosus,Least Concern,Schedule-II,,,
Phoenicurus erythronotus,Least Concern,Schedule-II,,Appendix II,
Phoenicurus leucocephalus,Least Concern,Schedule-II,,Appendix II,
Phoenicurus coeruleocephala,Least Concern,Schedule-II,,Appendix II,
Phoenicurus phoenicurus,Least Concern,Schedule-II,,Appendix II,
Phoenicurus hodgsoni,Least Concern,Schedule-II,,Appendix II,
Phoenicurus schisticeps,Least Concern,Schedule-II,,,
Phoenicurus erythrogastrus,Least Concern,Schedule-II,,Appendix II,
Phoenicurus ochruros,Least Concern,Schedule-II,,Appendix II,
Phoenicurus auroreus,Least Concern,Schedule-II,,Appendix II,
Monticola rufiventris,Least Concern,Schedule-II,,,
Monticola cinclorhyncha,Least Concern,Schedule-II,,Appendix II,
Monticola saxatilis,Least Concern,Schedule-II,,Appendix II,
Monticola solitarius,Least Concern,Schedule-II,,Appendix II,
Saxicola rubetra,Least Concern,Recent addition,,Appendix II,
Saxicola macrorhynchus,Vulnerable,Schedule-II,,,
Saxicola insignis,Vulnerable,Schedule-I,,Appendix II,
Saxicola maurus,Not recognized,Schedule-II,,Appendix II,
Saxicola stejnegeri,Not recognized,Schedule-II,,Appendix II,
Saxicola leucurus,Least Concern,Schedule-II,,,
Saxicola caprata,Least Concern,Schedule-II,,,
Saxicola jerdoni,Least Concern,Schedule-II,,,
Saxicola ferreus,Least Concern,Schedule-II,,Appendix II,
Oenanthe oenanthe,Least Concern,Schedule-II,,Appendix II,
Oenanthe isabellina,Least Concern,Schedule-II,,Appendix II,
Oenanthe deserti,Least Concern,Schedule-II,,Appendix II,
Oenanthe pleschanka,Least Concern,Schedule-II,,Appendix II,
Oenanthe fusca,Least Concern,Schedule-II,,,
Oenanthe picata,Least Concern,Schedule-II,,Appendix II,
Oenanthe albonigra,Least Concern,Schedule-II,,,
Oenanthe finschii,Least Concern,Schedule-II,,Appendix II,
Oenanthe chrysopygia,Least Concern,Schedule-II,,Appendix II,
Bombycilla garrulus,Least Concern,Schedule-II,,,
Hypocolius ampelinus,Least Concern,Schedule-II,,,
Dicaeum agile,Least Concern,Schedule-II,,,
Dicaeum chrysorrheum,Least Concern,Schedule-II,,,
Dicaeum melanozanthum,Least Concern,Schedule-II,,,
Dicaeum erythrorhynchos,Least Concern,Schedule-II,,,
Dicaeum concolor,Least Concern,Schedule-II,,,
Dicaeum minullum,Least Concern,Schedule-II,,,
Dicaeum virescens,Not recognized,Schedule-II,,,
Dicaeum ignipectus,Least Concern,Schedule-II,,,
Dicaeum cruentatum,Least Concern,Schedule-II,,,
Chalcoparia singalensis,Least Concern,Schedule-II,,,
Leptocoma zeylonica,Least Concern,Schedule-II,,,
Leptocoma minima,Least Concern,Schedule-II,,,
Leptocoma brasiliana,Least Concern,Schedule-II,,,
Cinnyris asiaticus,Least Concern,Schedule-II,,,
Cinnyris ornatus,Least Concern,Schedule-II,,,
Cinnyris lotenius,Least Concern,Schedule-II,,,
Aethopyga ignicauda,Least Concern,Schedule-II,,,
Aethopyga saturata,Least Concern,Schedule-II,,,
Aethopyga gouldiae,Least Concern,Schedule-II,,,
Aethopyga nipalensis,Least Concern,Schedule-II,,,
Aethopyga vigorsii,Least Concern,Schedule-II,,,
Aethopyga siparaja,Least Concern,Schedule-II,,,
Arachnothera longirostra,Least Concern,Schedule-II,,,
Arachnothera magna,Least Concern,Schedule-II,,,
Irena puella,Least Concern,Schedule-II,,,
Chloropsis moluccensis,Least Concern,Schedule-II,,,
Chloropsis jerdoni,Least Concern,Schedule-II,,,
Chloropsis aurifrons,Least Concern,Schedule-II,,,
Chloropsis hardwickii,Least Concern,Schedule-II,,,
Ploceus manyar,Least Concern,Schedule-II,,,
Ploceus philippinus,Least Concern,Schedule-II,,,
Ploceus megarhynchus,Endangered,Schedule-I,,,
Ploceus benghalensis,Least Concern,Schedule-II,,,
Euodice malabarica,Least Concern,Schedule-II,,,
Lonchura punctulata,Least Concern,Schedule-II,,,
Lonchura kelaarti,Least Concern,Schedule-II,,,
Lonchura striata,Least Concern,Schedule-II,,,
Lonchura malacca,Least Concern,Schedule-II,,,
Lonchura atricapilla,Least Concern,Schedule-II,,,
Amandava formosa,Vulnerable,Schedule-I,Appendix II,,
Amandava amandava,Least Concern,Schedule-II,,,
Prunella collaris,Least Concern,Schedule-II,,,
Prunella himalayana,Least Concern,Schedule-II,,,
Prunella rubeculoides,Least Concern,Schedule-II,,,
Prunella strophiata,Least Concern,Schedule-II,,,
Prunella fulvescens,Least Concern,Schedule-II,,,
Prunella atrogularis,Least Concern,Schedule-II,,,
Prunella immaculata,Least Concern,Schedule-II,,,
Passer domesticus,Least Concern,Schedule-II,,,
Passer hispaniolensis,Least Concern,Schedule-II,,,
Passer pyrrhonotus,Least Concern,Schedule-II,,,
Passer cinnamomeus,Least Concern,Schedule-II,,,
Passer montanus,Least Concern,Schedule-II,,,
Gymnoris xanthocollis,Least Concern,Schedule-II,,,
Petronia petronia,Least Concern,Schedule-II,,,
Carpospiza brachydactyla,Least Concern,Schedule-II,,,
Montifringilla adamsi,Least Concern,Schedule-II,,,
Onychostruthus taczanowskii,Least Concern,Schedule-II,,,
Pyrgilauda ruficollis,Least Concern,Schedule-II,,,
Pyrgilauda blanfordi,Least Concern,Schedule-II,,,
Dendronanthus indicus,Least Concern,Schedule-I,,Appendix II,
Motacilla cinerea,Least Concern,Schedule-II,,Appendix II,
Motacilla flava,Least Concern,Schedule-II,,Appendix II,
Motacilla tschutschensis,Least Concern,Schedule-II,,Appendix II,
Motacilla citreola,Least Concern,Schedule-II,,Appendix II,
Motacilla maderaspatensis,Least Concern,Schedule-II,,,
Motacilla alba,Least Concern,Schedule-II,,Appendix II,
Anthus richardi,Least Concern,Schedule-II,,Appendix II,
Anthus rufulus,Least Concern,Schedule-II,,,
Anthus similis,Least Concern,Schedule-II,,,
Anthus godlewskii,Least Concern,Schedule-II,,Appendix II,
Anthus campestris,Least Concern,Schedule-II,,Appendix II,
Anthus nilghiriensis,Vulnerable,Schedule-I,,,
Anthus sylvanus,Least Concern,Schedule-II,,Appendix II,
Anthus pratensis,Least Concern,Schedule-II,,Appendix II,
Anthus roseatus,Least Concern,Schedule-II,,Appendix II,
Anthus trivialis,Least Concern,Schedule-II,,Appendix II,
Anthus hodgsoni,Least Concern,Schedule-II,,Appendix II,
Anthus cervinus,Least Concern,Schedule-II,,Appendix II,
Anthus spinoletta,Least Concern,Schedule-II,,Appendix II,
Anthus rubescens,Least Concern,Schedule-II,,Appendix II,
Fringilla coelebs,Least Concern,Schedule-II,,,
Fringilla montifringilla,Least Concern,Schedule-II,,,
Mycerobas icterioides,Least Concern,Schedule-II,,,
Mycerobas affinis,Least Concern,Schedule-II,,,
Mycerobas melanozanthos,Least Concern,Schedule-II,,,
Mycerobas carnipes,Least Concern,Schedule-II,,,
Coccothraustes coccothraustes,Least Concern,Schedule-II,,,
Carpodacus erythrinus,Least Concern,Schedule-II,,,
Carpodacus sipahi,Least Concern,Schedule-II,,,
Carpodacus grandis,Not recognized,Schedule-II,,,
Carpodacus pulcherrimus,Least Concern,Schedule-II,,,
Carpodacus waltoni,Least Concern,Schedule-II,,,
Carpodacus edwardsii,Least Concern,Schedule-II,,,
Carpodacus rodochroa,Least Concern,Schedule-II,,,
Carpodacus rodopeplus,Least Concern,Schedule-II,,,
Carpodacus vinaceus,Least Concern,Schedule-II,,,
Carpodacus stoliczkae,Least Concern,Schedule-II,,,
Carpodacus sillemi,Data Deficient,Schedule-II,,,
Carpodacus rubicilloides,Least Concern,Schedule-II,,,
Carpodacus rubicilla,Least Concern,Schedule-II,,,
Carpodacus puniceus,Least Concern,Schedule-II,,,
Carpodacus subhimachalus,Least Concern,Schedule-II,,,
Carpodacus trifasciatus,Least Concern,Schedule-II,,,
Carpodacus thura,Least Concern,Schedule-II,,,
Carpodacus dubius,Least Concern,Schedule-II,,,
Pyrrhula nipalensis,Least Concern,Schedule-II,,,
Pyrrhula aurantiaca,Least Concern,Schedule-II,,,
Pyrrhula erythrocephala,Least Concern,Schedule-II,,,
Pyrrhula erythaca,Least Concern,Schedule-II,,,
Rhodopechys sanguineus,Least Concern,Schedule-II,,,
Bucanetes githagineus,Least Concern,Schedule-II,,,
Bucanetes mongolicus,Least Concern,Schedule-II,,,
Agraphospiza rubescens,Least Concern,Schedule-II,,,
Pyrrhoplectes epauletta,Least Concern,Schedule-II,,,
Callacanthis burtoni,Least Concern,Schedule-II,,,
Procarduelis nipalensis,Least Concern,Schedule-II,,,
Leucosticte nemoricola,Least Concern,Schedule-II,,,
Leucosticte brandti,Least Concern,Schedule-II,,,
Rhodospiza obsoleta,Least Concern,Schedule-II,,,
Chloris spinoides,Least Concern,Schedule-II,,,
Chloris ambigua,Least Concern,Schedule-II,,,
Linaria flavirostris,Least Concern,Schedule-II,,,
Linaria cannabina,Least Concern,Schedule-II,,,
Loxia curvirostra,Least Concern,Schedule-II,,,
Carduelis carduelis,Least Concern,Schedule-II,,,
Serinus pusillus,Least Concern,Schedule-II,,,
Spinus thibetanus,Least Concern,Schedule-II,,,
Spinus spinus,Least Concern,Schedule-II,,,
Calcarius lapponicus,Least Concern,Recent addition,,,
Emberiza lathami,Least Concern,Schedule-II,,,
Emberiza melanocephala,Least Concern,Schedule-II,,,
Emberiza bruniceps,Least Concern,Schedule-II,,,
Emberiza fucata,Least Concern,Schedule-II,,,
Emberiza cia,Least Concern,Schedule-II,,,
Emberiza godlewskii,Least Concern,Schedule-II,,,
Emberiza cioides,Least Concern,Recent addition,,,
Emberiza stewarti,Least Concern,Schedule-II,,,
Emberiza citrinella,Least Concern,Schedule-II,,,
Emberiza leucocephalos,Least Concern,Schedule-II,,,
Emberiza buchanani,Least Concern,Schedule-II,,,
Emberiza hortulana,Least Concern,Schedule-II,,,
Emberiza striolata,Least Concern,Schedule-II,,,
Emberiza schoeniclus,Least Concern,Schedule-II,,,
Emberiza aureola,Critically Endangered,Schedule-I,,Appendix I,
Emberiza pusilla,Least Concern,Schedule-II,,,
Emberiza rustica,Vulnerable,Schedule-II,,,
Emberiza spodocephala,Least Concern,Schedule-II,,,
Emberiza rutila,Least Concern,Schedule-II,,,
Emberiza chrysophrys,Least Concern,Schedule-II,,,
Emberiza tristrami,Least Concern,Schedule-II,,,
