eBird.English.Name.2022,eBird.English.Name.2023
Fulvous Whistling-Duck,Fulvous Whistling-Duck
Lesser Whistling-Duck,Lesser Whistling-Duck
Bar-headed Goose,Bar-headed Goose
Graylag Goose,Graylag Goose
Greater White-fronted Goose,Greater White-fronted Goose
Lesser White-fronted Goose,Lesser White-fronted Goose
Taiga Bean-Goose,Taiga Bean-Goose
Tundra Bean-Goose,Tundra Bean-Goose
Red-breasted Goose,Red-breasted Goose
Mute Swan,Mute Swan
Tundra Swan,Tundra Swan
Whooper Swan,Whooper Swan
Knob-billed Duck,Knob-billed Duck
Ruddy Shelduck,Ruddy Shelduck
Common Shelduck,Common Shelduck
Cotton Pygmy-Goose,Cotton Pygmy-Goose
Mandarin Duck,Mandarin Duck
Baikal Teal,Baikal Teal
Garganey,Garganey
Northern Shoveler,Northern Shoveler
Gadwall,Gadwall
Falcated Duck,Falcated Duck
Eurasian Wigeon,Eurasian Wigeon
Indian Spot-billed Duck,Indian Spot-billed Duck
Eastern Spot-billed Duck,Eastern Spot-billed Duck
Mallard,Mallard
Northern Pintail,Northern Pintail
Green-winged Teal,Green-winged Teal
Andaman Teal,Andaman Teal
Marbled Teal,Marbled Duck
Pink-headed Duck,Pink-headed Duck
White-winged Duck,White-winged Duck
Red-crested Pochard,Red-crested Pochard
Common Pochard,Common Pochard
Ferruginous Duck,Ferruginous Duck
Baer's Pochard,Baer's Pochard
Tufted Duck,Tufted Duck
Greater Scaup,Greater Scaup
Long-tailed Duck,Long-tailed Duck
Common Goldeneye,Common Goldeneye
Smew,Smew
Common Merganser,Common Merganser
Red-breasted Merganser,Red-breasted Merganser
White-headed Duck,White-headed Duck
Nicobar Megapode,Nicobar Megapode
Hill Partridge,Hill Partridge
Chestnut-breasted Partridge,Chestnut-breasted Partridge
Rufous-throated Partridge,Rufous-throated Partridge
White-cheeked Partridge,White-cheeked Partridge
Snow Partridge,Snow Partridge
Blood Pheasant,Blood Pheasant
Western Tragopan,Western Tragopan
Satyr Tragopan,Satyr Tragopan
Blyth's Tragopan,Blyth's Tragopan
Temminck's Tragopan,Temminck's Tragopan
Himalayan Monal,Himalayan Monal
Sclater's Monal,Sclater's Monal
Koklass Pheasant,Koklass Pheasant
Tibetan Partridge,Tibetan Partridge
Hume's Pheasant,Mrs. Hume's Pheasant
Cheer Pheasant,Cheer Pheasant
Kalij Pheasant,Kalij Pheasant
Indian Peafowl,Indian Peafowl
Green Peafowl,Green Peafowl
Red Spurfowl,Red Spurfowl
Painted Spurfowl,Painted Spurfowl
Gray Peacock-Pheasant,Gray Peacock-Pheasant
Mountain Bamboo-Partridge,Mountain Bamboo-Partridge
Red Junglefowl,Red Junglefowl
Gray Junglefowl,Gray Junglefowl
Gray Francolin,Gray Francolin
Swamp Francolin,Swamp Francolin
Chinese Francolin,Chinese Francolin
Black Francolin,Black Francolin
Painted Francolin,Painted Francolin
Tibetan Snowcock,Tibetan Snowcock
Himalayan Snowcock,Himalayan Snowcock
Blue-breasted Quail,Blue-breasted Quail
Common Quail,Common Quail
Japanese Quail,Japanese Quail
Rain Quail,Rain Quail
Chukar,Chukar
Jungle Bush-Quail,Jungle Bush-Quail
Rock Bush-Quail,Rock Bush-Quail
Painted Bush-Quail,Painted Bush-Quail
Manipur Bush-Quail,Manipur Bush-Quail
Himalayan Quail,Himalayan Quail
Greater Flamingo,Greater Flamingo
Lesser Flamingo,Lesser Flamingo
Little Grebe,Little Grebe
Horned Grebe,Horned Grebe
Red-necked Grebe,Red-necked Grebe
Great Crested Grebe,Great Crested Grebe
Eared Grebe,Eared Grebe
Rock Pigeon,Rock Pigeon
Hill Pigeon,Hill Pigeon
Snow Pigeon,Snow Pigeon
Yellow-eyed Pigeon,Yellow-eyed Pigeon
Common Wood-Pigeon,Common Wood-Pigeon
Speckled Wood-Pigeon,Speckled Wood-Pigeon
Ashy Wood-Pigeon,Ashy Wood-Pigeon
Nilgiri Wood-Pigeon,Nilgiri Wood-Pigeon
Pale-capped Pigeon,Pale-capped Pigeon
Andaman Wood-Pigeon,Andaman Wood-Pigeon
European Turtle-Dove,European Turtle-Dove
Oriental Turtle-Dove,Oriental Turtle-Dove
Eurasian Collared-Dove,Eurasian Collared-Dove
Red Collared-Dove,Red Collared-Dove
Spotted Dove,Spotted Dove
Laughing Dove,Laughing Dove
Barred Cuckoo-Dove,Barred Cuckoo-Dove
Andaman Cuckoo-Dove,Andaman Cuckoo-Dove
Namaqua Dove,Namaqua Dove
Asian Emerald Dove,Asian Emerald Dove
Nicobar Pigeon,Nicobar Pigeon
Orange-breasted Green-Pigeon,Orange-breasted Green-Pigeon
Gray-fronted Green-Pigeon,Gray-fronted Green-Pigeon
Andaman Green-Pigeon,Andaman Green-Pigeon
Ashy-headed Green-Pigeon,Ashy-headed Green-Pigeon
Thick-billed Green-Pigeon,Thick-billed Green-Pigeon
Yellow-footed Green-Pigeon,Yellow-footed Green-Pigeon
Pin-tailed Green-Pigeon,Pin-tailed Green-Pigeon
Wedge-tailed Green-Pigeon,Wedge-tailed Green-Pigeon
Green Imperial-Pigeon,Green Imperial-Pigeon
Nicobar Imperial-Pigeon,Nicobar Imperial-Pigeon
Malabar Imperial-Pigeon,Malabar Imperial-Pigeon
Mountain Imperial-Pigeon,Mountain Imperial-Pigeon
Pied Imperial-Pigeon,Pied Imperial-Pigeon
Tibetan Sandgrouse,Tibetan Sandgrouse
Pallas's Sandgrouse,Pallas's Sandgrouse
Pin-tailed Sandgrouse,Pin-tailed Sandgrouse
Chestnut-bellied Sandgrouse,Chestnut-bellied Sandgrouse
Spotted Sandgrouse,Spotted Sandgrouse
Black-bellied Sandgrouse,Black-bellied Sandgrouse
Painted Sandgrouse,Painted Sandgrouse
Great Indian Bustard,Great Indian Bustard
Macqueen's Bustard,Macqueen's Bustard
Bengal Florican,Bengal Florican
Lesser Florican,Lesser Florican
Little Bustard,Little Bustard
Andaman Coucal,Andaman Coucal
Greater Coucal,Greater Coucal
Lesser Coucal,Lesser Coucal
Sirkeer Malkoha,Sirkeer Malkoha
Blue-faced Malkoha,Blue-faced Malkoha
Green-billed Malkoha,Green-billed Malkoha
Chestnut-winged Cuckoo,Chestnut-winged Cuckoo
Pied Cuckoo,Pied Cuckoo
Asian Koel,Asian Koel
Asian Emerald Cuckoo,Asian Emerald Cuckoo
Violet Cuckoo,Violet Cuckoo
Horsfield's Bronze-Cuckoo,Horsfield's Bronze-Cuckoo
Banded Bay Cuckoo,Banded Bay Cuckoo
Plaintive Cuckoo,Plaintive Cuckoo
Gray-bellied Cuckoo,Gray-bellied Cuckoo
Fork-tailed Drongo-Cuckoo,Fork-tailed Drongo-Cuckoo
Square-tailed Drongo-Cuckoo,Square-tailed Drongo-Cuckoo
Large Hawk-Cuckoo,Large Hawk-Cuckoo
Common Hawk-Cuckoo,Common Hawk-Cuckoo
Hodgson's Hawk-Cuckoo,Hodgson's Hawk-Cuckoo
Lesser Cuckoo,Lesser Cuckoo
Indian Cuckoo,Indian Cuckoo
Himalayan Cuckoo,Himalayan Cuckoo
Common Cuckoo,Common Cuckoo
Sri Lanka Frogmouth,Sri Lanka Frogmouth
Hodgson's Frogmouth,Hodgson's Frogmouth
Great Eared-Nightjar,Great Eared-Nightjar
Jungle Nightjar,Jungle Nightjar
Gray Nightjar,Gray Nightjar
Eurasian Nightjar,Eurasian Nightjar
Sykes's Nightjar,Sykes's Nightjar
Large-tailed Nightjar,Large-tailed Nightjar
Andaman Nightjar,Andaman Nightjar
Jerdon's Nightjar,Jerdon's Nightjar
Indian Nightjar,Indian Nightjar
Savanna Nightjar,Savanna Nightjar
White-rumped Needletail,White-rumped Spinetail
White-throated Needletail,White-throated Needletail
Silver-backed Needletail,Silver-backed Needletail
Brown-backed Needletail,Brown-backed Needletail
Plume-toed Swiftlet,Plume-toed Swiftlet
Indian Swiftlet,Indian Swiftlet
Himalayan Swiftlet,Himalayan Swiftlet
White-nest Swiftlet,White-nest Swiftlet
Alpine Swift,Alpine Swift
Common Swift,Common Swift
Pacific Swift,Pacific Swift
Blyth's Swift,Blyth's Swift
Dark-rumped Swift,Dark-rumped Swift
Little Swift,Little Swift
House Swift,House Swift
Asian Palm Swift,Asian Palm Swift
Crested Treeswift,Crested Treeswift
Water Rail,Water Rail
Brown-cheeked Rail,Brown-cheeked Rail
Corn Crake,Corn Crake
Slaty-breasted Rail,Slaty-breasted Rail
Spotted Crake,Spotted Crake
Eurasian Moorhen,Eurasian Moorhen
Eurasian Coot,Eurasian Coot
Gray-headed Swamphen,Gray-headed Swamphen
White-browed Crake,White-browed Crake
Watercock,Watercock
White-breasted Waterhen,White-breasted Waterhen
Andaman Crake,Andaman Crake
Red-legged Crake,Red-legged Crake
Slaty-legged Crake,Slaty-legged Crake
Ruddy-breasted Crake,Ruddy-breasted Crake
Brown Crake,Brown Crake
Little Crake,Little Crake
Baillon's Crake,Baillon's Crake
Black-tailed Crake,Black-tailed Crake
Masked Finfoot,Masked Finfoot
Demoiselle Crane,Demoiselle Crane
Siberian Crane,Siberian Crane
Sarus Crane,Sarus Crane
Common Crane,Common Crane
Black-necked Crane,Black-necked Crane
Indian Thick-knee,Indian Thick-knee
Great Thick-knee,Great Thick-knee
Beach Thick-knee,Beach Thick-knee
Black-winged Stilt,Black-winged Stilt
Pied Avocet,Pied Avocet
Ibisbill,Ibisbill
Eurasian Oystercatcher,Eurasian Oystercatcher
Black-bellied Plover,Black-bellied Plover
European Golden-Plover,European Golden-Plover
American Golden-Plover,American Golden-Plover
Pacific Golden-Plover,Pacific Golden-Plover
Northern Lapwing,Northern Lapwing
River Lapwing,River Lapwing
Yellow-wattled Lapwing,Yellow-wattled Lapwing
Gray-headed Lapwing,Gray-headed Lapwing
Red-wattled Lapwing,Red-wattled Lapwing
Sociable Lapwing,Sociable Lapwing
White-tailed Lapwing,White-tailed Lapwing
Lesser Sand-Plover,Tibetan Sand-Plover
Greater Sand-Plover,Greater Sand-Plover
Caspian Plover,Caspian Plover
Kentish Plover,Kentish Plover
Common Ringed Plover,Common Ringed Plover
Long-billed Plover,Long-billed Plover
Little Ringed Plover,Little Ringed Plover
Oriental Plover,Oriental Plover
Greater Painted-Snipe,Greater Painted-Snipe
Pheasant-tailed Jacana,Pheasant-tailed Jacana
Bronze-winged Jacana,Bronze-winged Jacana
Whimbrel,Whimbrel
Eurasian Curlew,Eurasian Curlew
Bar-tailed Godwit,Bar-tailed Godwit
Black-tailed Godwit,Black-tailed Godwit
Ruddy Turnstone,Ruddy Turnstone
Great Knot,Great Knot
Red Knot,Red Knot
Ruff,Ruff
Broad-billed Sandpiper,Broad-billed Sandpiper
Sharp-tailed Sandpiper,Sharp-tailed Sandpiper
Curlew Sandpiper,Curlew Sandpiper
Temminck's Stint,Temminck's Stint
Long-toed Stint,Long-toed Stint
Spoon-billed Sandpiper,Spoon-billed Sandpiper
Red-necked Stint,Red-necked Stint
Sanderling,Sanderling
Dunlin,Dunlin
Little Stint,Little Stint
Buff-breasted Sandpiper,Buff-breasted Sandpiper
Pectoral Sandpiper,Pectoral Sandpiper
Asian Dowitcher,Asian Dowitcher
Long-billed Dowitcher,Long-billed Dowitcher
Jack Snipe,Jack Snipe
Eurasian Woodcock,Eurasian Woodcock
Solitary Snipe,Solitary Snipe
Wood Snipe,Wood Snipe
Great Snipe,Great Snipe
Common Snipe,Common Snipe
Pin-tailed Snipe,Pin-tailed Snipe
Swinhoe's Snipe,Swinhoe's Snipe
Terek Sandpiper,Terek Sandpiper
Red-necked Phalarope,Red-necked Phalarope
Red Phalarope,Red Phalarope
Common Sandpiper,Common Sandpiper
Green Sandpiper,Green Sandpiper
Gray-tailed Tattler,Gray-tailed Tattler
Spotted Redshank,Spotted Redshank
Common Greenshank,Common Greenshank
Nordmann's Greenshank,Nordmann's Greenshank
Marsh Sandpiper,Marsh Sandpiper
Wood Sandpiper,Wood Sandpiper
Common Redshank,Common Redshank
Small Buttonquail,Small Buttonquail
Yellow-legged Buttonquail,Yellow-legged Buttonquail
Barred Buttonquail,Barred Buttonquail
Crab-Plover,Crab-Plover
Cream-colored Courser,Cream-colored Courser
Indian Courser,Indian Courser
Jerdon's Courser,Jerdon's Courser
Collared Pratincole,Collared Pratincole
Oriental Pratincole,Oriental Pratincole
Small Pratincole,Small Pratincole
South Polar Skua,South Polar Skua
Brown Skua,Brown Skua
Pomarine Jaeger,Pomarine Jaeger
Parasitic Jaeger,Parasitic Jaeger
Long-tailed Jaeger,Long-tailed Jaeger
Black-legged Kittiwake,Black-legged Kittiwake
Sabine's Gull,Sabine's Gull
Slender-billed Gull,Slender-billed Gull
Black-headed Gull,Black-headed Gull
Brown-headed Gull,Brown-headed Gull
Little Gull,Little Gull
Franklin's Gull,Franklin's Gull
White-eyed Gull,White-eyed Gull
Sooty Gull,Sooty Gull
Pallas's Gull,Pallas's Gull
Common Gull,Common Gull
Herring Gull,Herring Gull
Caspian Gull,Caspian Gull
Lesser Black-backed Gull,Lesser Black-backed Gull
Brown Noddy,Brown Noddy
Black Noddy,Black Noddy
Lesser Noddy,Lesser Noddy
White Tern,White Tern
Sooty Tern,Sooty Tern
Bridled Tern,Bridled Tern
Little Tern,Little Tern
Saunders's Tern,Saunders's Tern
Gull-billed Tern,Gull-billed Tern
Caspian Tern,Caspian Tern
Black Tern,Black Tern
White-winged Tern,White-winged Tern
Whiskered Tern,Whiskered Tern
Roseate Tern,Roseate Tern
Black-naped Tern,Black-naped Tern
Common Tern,Common Tern
Arctic Tern,Arctic Tern
Black-bellied Tern,Black-bellied Tern
River Tern,River Tern
White-cheeked Tern,White-cheeked Tern
Great Crested Tern,Great Crested Tern
Sandwich Tern,Sandwich Tern
Lesser Crested Tern,Lesser Crested Tern
Indian Skimmer,Indian Skimmer
White-tailed Tropicbird,White-tailed Tropicbird
Red-billed Tropicbird,Red-billed Tropicbird
Red-tailed Tropicbird,Red-tailed Tropicbird
Red-throated Loon,Red-throated Loon
Arctic Loon,Arctic Loon
Light-mantled Albatross,Light-mantled Albatross
Wilson's Storm-Petrel,Wilson's Storm-Petrel
White-faced Storm-Petrel,White-faced Storm-Petrel
Black-bellied Storm-Petrel,Black-bellied Storm-Petrel
Swinhoe's Storm-Petrel,Swinhoe's Storm-Petrel
Barau's Petrel,Barau's Petrel
Jouanin's Petrel,Jouanin's Petrel
Streaked Shearwater,Streaked Shearwater
Cory's Shearwater,Cory's Shearwater
Flesh-footed Shearwater,Flesh-footed Shearwater
Wedge-tailed Shearwater,Wedge-tailed Shearwater
Sooty Shearwater,Sooty Shearwater
Short-tailed Shearwater,Short-tailed Shearwater
Tropical Shearwater,Tropical Shearwater
Persian Shearwater,Persian Shearwater
Asian Openbill,Asian Openbill
Black Stork,Black Stork
Asian Woolly-necked Stork,Asian Woolly-necked Stork
White Stork,White Stork
Black-necked Stork,Black-necked Stork
Lesser Adjutant,Lesser Adjutant
Greater Adjutant,Greater Adjutant
Painted Stork,Painted Stork
Lesser Frigatebird,Lesser Frigatebird
Christmas Island Frigatebird,Christmas Island Frigatebird
Great Frigatebird,Great Frigatebird
Masked Booby,Masked Booby
Brown Booby,Brown Booby
Red-footed Booby,Red-footed Booby
Oriental Darter,Oriental Darter
Little Cormorant,Little Cormorant
Great Cormorant,Great Cormorant
Indian Cormorant,Indian Cormorant
Great White Pelican,Great White Pelican
Spot-billed Pelican,Spot-billed Pelican
Dalmatian Pelican,Dalmatian Pelican
Great Bittern,Great Bittern
Yellow Bittern,Yellow Bittern
Little Bittern,Little Bittern
Cinnamon Bittern,Cinnamon Bittern
Black Bittern,Black Bittern
Gray Heron,Gray Heron
White-bellied Heron,White-bellied Heron
Goliath Heron,Goliath Heron
Purple Heron,Purple Heron
Great Egret,Great Egret
Intermediate Egret,Medium Egret
Chinese Egret,Chinese Egret
Little Egret,Little Egret
Western Reef-Heron,Western Reef-Heron
Pacific Reef-Heron,Pacific Reef-Heron
Cattle Egret,Eastern Cattle Egret
Indian Pond-Heron,Indian Pond-Heron
Chinese Pond-Heron,Chinese Pond-Heron
Javan Pond-Heron,Javan Pond-Heron
Striated Heron,Striated Heron
Black-crowned Night-Heron,Black-crowned Night Heron
White-eared Night-Heron,White-eared Night Heron
Malayan Night-Heron,Malayan Night Heron
Glossy Ibis,Glossy Ibis
Black-headed Ibis,Black-headed Ibis
Red-naped Ibis,Red-naped Ibis
Eurasian Spoonbill,Eurasian Spoonbill
Osprey,Osprey
Black-winged Kite,Black-winged Kite
Bearded Vulture,Bearded Vulture
Egyptian Vulture,Egyptian Vulture
European Honey-buzzard,European Honey-buzzard
Oriental Honey-buzzard,Oriental Honey-buzzard
Jerdon's Baza,Jerdon's Baza
Black Baza,Black Baza
Red-headed Vulture,Red-headed Vulture
Cinereous Vulture,Cinereous Vulture
White-rumped Vulture,White-rumped Vulture
Indian Vulture,Indian Vulture
Slender-billed Vulture,Slender-billed Vulture
Himalayan Griffon,Himalayan Griffon
Eurasian Griffon,Eurasian Griffon
Nicobar Serpent-Eagle,Nicobar Serpent-Eagle
Crested Serpent-Eagle,Crested Serpent-Eagle
Andaman Serpent-Eagle,Andaman Serpent-Eagle
Short-toed Snake-Eagle,Short-toed Snake-Eagle
Changeable Hawk-Eagle,Changeable Hawk-Eagle
Mountain Hawk-Eagle,Mountain Hawk-Eagle
Legge's Hawk-Eagle,Legge's Hawk-Eagle
Rufous-bellied Eagle,Rufous-bellied Eagle
Black Eagle,Black Eagle
Indian Spotted Eagle,Indian Spotted Eagle
Greater Spotted Eagle,Greater Spotted Eagle
Booted Eagle,Booted Eagle
Tawny Eagle,Tawny Eagle
Steppe Eagle,Steppe Eagle
Imperial Eagle,Imperial Eagle
Golden Eagle,Golden Eagle
Bonelli's Eagle,Bonelli's Eagle
White-eyed Buzzard,White-eyed Buzzard
Rufous-winged Buzzard,Rufous-winged Buzzard
Gray-faced Buzzard,Gray-faced Buzzard
Eurasian Marsh-Harrier,Western Marsh Harrier
Eastern Marsh-Harrier,Eastern Marsh Harrier
Hen Harrier,Hen Harrier
Pallid Harrier,Pallid Harrier
Pied Harrier,Pied Harrier
Montagu's Harrier,Montagu's Harrier
Crested Goshawk,Crested Goshawk
Shikra,Shikra
Nicobar Sparrowhawk,Nicobar Sparrowhawk
Chinese Sparrowhawk,Chinese Sparrowhawk
Japanese Sparrowhawk,Japanese Sparrowhawk
Besra,Besra
Eurasian Sparrowhawk,Eurasian Sparrowhawk
Northern Goshawk,Eurasian Goshawk
Red Kite,Red Kite
Black Kite,Black Kite
Brahminy Kite,Brahminy Kite
White-tailed Eagle,White-tailed Eagle
Pallas's Fish-Eagle,Pallas's Fish-Eagle
White-bellied Sea-Eagle,White-bellied Sea-Eagle
Lesser Fish-Eagle,Lesser Fish-Eagle
Gray-headed Fish-Eagle,Gray-headed Fish-Eagle
Rough-legged Hawk,Rough-legged Hawk
Common Buzzard,Common Buzzard
Himalayan Buzzard,Himalayan Buzzard
Long-legged Buzzard,Long-legged Buzzard
Upland Buzzard,Upland Buzzard
Australasian Grass-Owl,Australasian Grass-Owl
Barn Owl,Barn Owl
Andaman Masked-Owl,Andaman Masked-Owl
Oriental Bay-Owl,Oriental Bay-Owl
Sri Lanka Bay-Owl,Sri Lanka Bay-Owl
Andaman Scops-Owl,Andaman Scops-Owl
Mountain Scops-Owl,Mountain Scops-Owl
Indian Scops-Owl,Indian Scops-Owl
Collared Scops-Owl,Collared Scops-Owl
Nicobar Scops-Owl,Nicobar Scops-Owl
Eurasian Scops-Owl,Eurasian Scops-Owl
Pallid Scops-Owl,Pallid Scops-Owl
Oriental Scops-Owl,Oriental Scops-Owl
Eurasian Eagle-Owl,Eurasian Eagle-Owl
Rock Eagle-Owl,Rock Eagle-Owl
Spot-bellied Eagle-Owl,Spot-bellied Eagle-Owl
Dusky Eagle-Owl,Dusky Eagle-Owl
Brown Fish-Owl,Brown Fish-Owl
