"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1981,"White-throated Dipper","before 2000",-2.57221745643217,0.827830581052877,0.014961230359917,0.0735229639051758,0.320819840300435,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"White-throated Dipper","2000-2006",-2.39228750671286,0.890893353170867,0.0158212429849099,0.0873659679855682,0.40789221046534,11.562583481914,118.828136605382,963.66901457492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"White-throated Dipper","2007-2010",-1.93399718490386,0.854354452907851,0.0267279050439092,0.134604951036828,0.537665290349876,21.8204595308477,183.078787751853,1280.34655874188,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"White-throated Dipper","2011-2012",-3.02010840203231,0.961834341252311,0.00737982745052055,0.0476245374394654,0.274903156874637,5.87697867723083,64.7750510995284,739.689237464566,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"White-throated Dipper","2013",-2.12890454119323,0.801168033606769,0.0244398542211102,0.112163386337993,0.43560483450558,20.6663878066498,152.555583154471,1172.40230943842,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"White-throated Dipper","2014",-2.32119614847548,0.832690031251724,0.0190088770267487,0.0934926186060648,0.394690752847468,15.4335738663822,127.161112175298,1350.09667386079,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"White-throated Dipper","2015",-3.03163951120447,0.832687561117018,0.00938709747497533,0.047091591924626,0.218626926938472,8.5302744157428,64.0501816348985,622.487493917791,100,100,100,NA,NA,NA,100,100,100
2016,"White-throated Dipper","2016",-2.84302294338962,0.799281662568744,0.0120862266201793,0.0565852894824549,0.243483867372178,8.85381020530486,76.9627426275065,528.686296597974,14.3620863314026,120.160069281634,1302.07820666849,NA,NA,NA,14.3620863314026,120.160069281634,1302.07820666849
2017,"White-throated Dipper","2017",-3.33788263186309,0.772350629391161,0.00778470085296012,0.0348889150198365,0.149020104440649,5.43129003418562,47.4530856302712,349.225734400608,8.62042656248846,74.0873552877106,622.946828138735,NA,NA,NA,8.62042656248846,74.0873552877106,622.946828138735
2018,"White-throated Dipper","2018",-2.8695037365708,0.75402500840575,0.0128571393619043,0.055148088491383,0.22016540717472,10.1061638677988,75.0079778645875,610.932647895058,13.3757907785759,117.10814231902,1180.54428290493,NA,NA,NA,13.3757907785759,117.10814231902,1180.54428290493
2019,"White-throated Dipper","2019",-3.39178911742751,0.74297788471741,0.00781316512296096,0.0330886103761616,0.134410500400017,6.20388599401071,45.0044565924147,347.588688010812,9.20453070016588,70.2643699731422,526.92867580963,NA,NA,NA,9.20453070016588,70.2643699731422,526.92867580963
2020,"White-throated Dipper","2020",-2.99509155267088,0.763285184201626,0.0111453906345719,0.0488010584033267,0.200158467810723,7.37260397282224,66.375259934116,531.634364994674,10.5251160066219,103.630088533505,835.084364393298,NA,NA,NA,10.5251160066219,103.630088533505,835.084364393298
2021,"White-throated Dipper","2021",-3.47235059598278,0.752185991719803,0.00708208674361998,0.0305670567282709,0.126805774934998,5.0013452247963,41.5748428854064,299.659932747773,9.59490150204135,64.9097970125879,529.885877767947,NA,NA,NA,9.59490150204135,64.9097970125879,529.885877767947
2022,"White-throated Dipper","2022",-3.65443507448828,0.746300495205479,0.00597495336591413,0.0255441939331206,0.105712712133662,4.83602743162482,34.7431504068111,285.822185301322,6.15974594902772,54.2436407204205,411.294414240805,NA,NA,NA,6.15974594902772,54.2436407204205,411.294414240805
2023,"White-throated Dipper","2023",-3.81731122627152,0.772506109726718,0.0048255005105211,0.0217468903655223,0.0951070259866945,3.88464133071174,29.5783646502197,267.963481767918,5.63881478707989,46.1799855913345,341.757993448003,NA,NA,NA,5.63881478707989,46.1799855913345,341.757993448003
2024,"White-throated Dipper","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.74862398437,77.8223765877399,238.830091976067,27.74862398437,77.8223765877399,238.830091976067
2025,"White-throated Dipper","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5372922720388,74.3926878250528,277.305277977961,22.5372922720388,74.3926878250528,277.305277977961
2026,"White-throated Dipper","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4048308831856,71.7651873492415,327.996686922956,18.4048308831856,71.7651873492415,327.996686922956
2027,"White-throated Dipper","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.132464048488,69.8578778597998,394.592244916884,15.132464048488,69.8578778597998,394.592244916884
2028,"White-throated Dipper","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5361021777269,68.6114289594545,482.35097853327,12.5361021777269,68.6114289594545,482.35097853327
2029,"White-throated Dipper","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4683014390348,67.9857159675115,598.700456678222,10.4683014390348,67.9857159675115,598.700456678222
2030,"White-throated Dipper","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81357962741935,67.9574040334479,754.139603586132,8.81357962741935,67.9574040334479,754.139603586132
1981,"Black-winged Snowfinch","before 2000",-1.87540407009613,0.743012818647496,0.0351011289136137,0.142121684695374,0.481927000815914,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Black-winged Snowfinch","2000-2006",-1.6158776443058,0.777280274235688,0.0423865426077026,0.180217478638993,0.598172668725124,21.7624654549005,126.805053729326,880.834203554393,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Black-winged Snowfinch","2007-2010",-1.67530538845394,0.792747318591499,0.0388199275019,0.170764416638958,0.587522149902699,16.659235083584,120.153667615873,917.502413008478,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Black-winged Snowfinch","2011-2012",-2.10039053692761,0.774512188548048,0.0264680544738597,0.115213241480533,0.427982688351294,11.8143838792662,81.0666167710317,584.514728739601,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black-winged Snowfinch","2013",-2.49834955248641,0.948709190900864,0.0127246289827932,0.0789312399382822,0.410147967619868,6.48433675670949,55.5377879930601,539.133510038935,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Black-winged Snowfinch","2014",-2.588101422811,0.793953563137398,0.0157302826971879,0.0724073587286957,0.299744917152513,7.5930976573912,50.9474390793318,412.090397415095,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Black-winged Snowfinch","2015",-2.04799137316672,0.774944164585505,0.0278486555284603,0.121020535434785,0.445192723487222,11.9647511525509,85.1527588447759,565.532321858458,100,100,100,NA,NA,NA,100,100,100
2016,"Black-winged Snowfinch","2016",-2.13509978462156,0.738051120387791,0.0274452500632448,0.111510804615109,0.394874350789103,10.9119374265767,78.4614992807909,495.46633585038,15.3802324684214,92.1420519372926,693.151293404424,NA,NA,NA,15.3802324684214,92.1420519372926,693.151293404424
2017,"Black-winged Snowfinch","2017",-2.3921303485435,0.725778130251797,0.0218040861613562,0.0873790811456924,0.315613679407585,10.6976592872729,61.4818782460834,392.451458038349,10.1671760521691,72.2018629580259,587.538444732072,NA,NA,NA,10.1671760521691,72.2018629580259,587.538444732072
2018,"Black-winged Snowfinch","2018",-2.43921246758504,0.731298321694752,0.0205901660750152,0.0835332764032391,0.306307940164189,9.0679863558392,58.7758839070095,403.057587154228,10.230359446961,69.0240512514121,515.974504560267,NA,NA,NA,10.230359446961,69.0240512514121,515.974504560267
2019,"Black-winged Snowfinch","2019",-2.761809300379,0.728903083631789,0.0150253056064995,0.0612230407479815,0.231752266567487,6.63700689491526,43.077902488426,355.113431410277,7.58461853130677,50.5889686638953,398.871975440824,NA,NA,NA,7.58461853130677,50.5889686638953,398.871975440824
2020,"Black-winged Snowfinch","2020",-2.72068145981136,0.753172210347268,0.0149295823821533,0.063709866381185,0.250309861662864,6.33454154257419,44.8276886934895,307.40852973727,7.87451156788407,52.6438477174949,411.541769126033,NA,NA,NA,7.87451156788407,52.6438477174949,411.541769126033
2021,"Black-winged Snowfinch","2021",-2.52105268868518,0.718109858022568,0.0194799802726808,0.0772297134181672,0.279916917815389,8.04218120545792,54.3405558298177,424.190692322502,9.04885314036769,63.8153790517516,447.352786494392,NA,NA,NA,9.04885314036769,63.8153790517516,447.352786494392
2022,"Black-winged Snowfinch","2022",-2.68396484685589,0.716905550465745,0.0166147373584431,0.0660121505044606,0.242977878509515,8.22152701415404,46.4476273595772,276.27972009765,7.38140811750606,54.546239005886,370.936713564329,NA,NA,NA,7.38140811750606,54.546239005886,370.936713564329
2023,"Black-winged Snowfinch","2023",-2.57956643572854,0.708288150278983,0.0187370262865248,0.0730047746220523,0.262005902380632,7.12194307151055,51.3677942803253,320.806349933243,10.2626457191045,60.3242865847284,402.436084751193,NA,NA,NA,10.2626457191045,60.3242865847284,402.436084751193
2024,"Black-winged Snowfinch","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1507822223853,66.627634983883,182.639694854446,26.1507822223853,66.627634983883,182.639694854446
2025,"Black-winged Snowfinch","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8667526320845,64.3456437517122,209.221843370609,21.8667526320845,64.3456437517122,209.221843370609
2026,"Black-winged Snowfinch","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3818956425152,62.5881242912695,243.139162797127,18.3818956425152,62.5881242912695,243.139162797127
2027,"Black-winged Snowfinch","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5572230029694,61.3146522472736,286.254561034548,15.5572230029694,61.3146522472736,286.254561034548
2028,"Black-winged Snowfinch","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2679878418766,60.4969812804549,341.152398007378,13.2679878418766,60.4969812804549,341.152398007378
2029,"Black-winged Snowfinch","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4096225192953,60.1181284449682,411.363803102729,11.4096225192953,60.1181284449682,411.363803102729
2030,"Black-winged Snowfinch","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89719512853447,60.1719675858,501.705626279955,9.89719512853447,60.1719675858,501.705626279955
